citation-key,type,year,title,authors,container-title,volume,issue,page,DOI,PMID
malleyConsistentProbabilityEstimation2012,article-journal,2012,Consistent Probability Estimation Using Nonparametric Learning Machines,"Malley, James D; Kruppa, Jochen; Dasgupta, Abhijit; Malley, Karen G; Ziegler, Andreas",Methods of Information in Medicine,51,1,74–81,,
witkiewiczUsingReverseWarburg2012,article-journal,2012,Using the “reverse Warburg effect” to identify high-risk breast cancer patients: stromal MCT4 predicts poor clinical outcome in triple-negative breast cancers,"Witkiewicz, Agnieszka K; Whitaker-Menezes, Diana; Dasgupta, Abhijit; Philp, Nancy J; Lin, Zhao; Gandara, Ricardo; Sneddon, Sharon; Martinez-Outschoorn, Ubaldo E; Sotgia, Federica; Lisanti, Michael P",Cell cycle,11,6,1108–1117,,
malley2013,article-journal,2013,The limits of p-values for biological data mining,"Malley, James D; Dasgupta, Abhijit; Moore, Jason H",BioData Mining,6,1,"10, 1756-0381-6-10",10.1186/1756-0381-6-10,
biehlHydroxychloroquineLevelVariants2015,article-journal,2015,hydroxychloroquine Level Variants and Predictors in a Connective Tissue Disease Population: abstract Number: 1802,"Biehl, Ann; Ghaderi-Yeganeh, Maryam; Manna, Zerai; Dasgupta, Abhijit; Kaplan, Mariana J; Hasni, Sarfaraz",Arthritis & Rheumatology,67,,2186–2187,,
tektonidouBurdenSeriousInfections2015,article-journal,2015,"Burden of Serious Infections in Adults With Systemic Lupus Erythematosus: A National Population-Based Study, 1996–2011","Tektonidou, Maria G; Wang, Zhong; Dasgupta, Abhijit; Ward, Michael M",Arthritis care & research,67,8,1078–1085,,
tektonidouRiskEndstageRenal2016,article-journal,2016,"Risk of end-stage renal disease in patients with lupus nephritis, 1971–2015: a systematic review and Bayesian meta-analysis","Tektonidou, Maria G; Dasgupta, Abhijit; Ward, Michael M",Arthritis & Rheumatology,68,6,1432–1441,,
wardResponseHeterogeneityConsistency2016,article-journal,2016,"Response to:‘Heterogeneity, consistency and model fit should be assessed in Bayesian network meta-analysis’ by Wei et al","Ward, Michael M; Dasgupta, Abhijit; Wang, Runsheng",Annals of the rheumatic diseases,75,1,e6–e6,,
wardConclusionsMetaanalysisOversimplification2017,article-journal,2017,Conclusions from a meta-analysis: oversimplification or warranting critical analysis? Comment on the article by Tektonidou et al Reply,"Ward, Michael M; Dasgupta, Abhijit; Tektonidou, Maria",ARTHRITIS & RHEUMATOLOGY,69,8,1705–1705,,
dasguptaTranslatingTreatmentEffects2019,article-journal,2019,Translating treatment effects between rheumatoid arthritis activity measures and American College of Rheumatology responses in direct comparison trials,"Dasgupta, Abhijit; Ward, Michael M",Arthritis care & research,,,,,
newcomer:2019,article-journal,2019,Measuring airflow through the portable high-efficiency air filtration (PHEAF) device to assess reliability of instrument and sample location,"Newcomer, Derek A.; LaPuma, Peter; Brandys, Robert; Northcross, Amanda; Dasgupta, Abhijit",Journal of the Air & Waste Management Association,69,6,734–742,10.1080/10962247.2019.1576554,30698506
tan:2019,article-journal,2019,Aortic-vertebral interaction in ankylosing spondylitis: syndesmophyte development at the juxta-aortic vertebral rim,"Tan, Sovira; Dasgupta, Abhijit; Flynn, John A; Ward, Michael M",Annals of the rheumatic diseases,78,7,922–928,,
swayambunathan:2020,article-journal,2020,Incidence of Hip Fracture Over 4 Decades in the Framingham Heart Study,"Swayambunathan, Jay; Dasgupta, Abhijit; Rosenberg, Philip S.; Hannan, Marian T.; Kiel, Douglas P.; Bhattacharyya, Timothy",JAMA Internal Medicine,,,,10.1001/jamainternmed.2020.2975,
swayambunathan:2020a,article-journal,2020,The Pronounced Impact of Hip Fractures on Psychosocial Well-being,"Swayambunathan, Jay; Dasgupta, Abhijit; Bhattacharyya, Timothy",JAAOS - Journal of the American Academy of Orthopaedic Surgeons,Publish Ahead of Print,,,10.5435/JAAOS-D-19-00530,
swayambunathan:2021,article-journal,2021,The Pronounced Impact of Hip Fractures on Psychosocial Well-being,"Swayambunathan, Jay; Dasgupta, Abhijit; Bhattacharyya, Timothy",Journal of the American Academy of Orthopaedic Surgeons,29,1,e22-e30,10.5435/JAAOS-D-19-00530,
wang:2022,article-journal,2022,Predicting Probability of Response to Tumor Necrosis Factor Inhibitors for Individual Patients With Ankylosing Spondylitis,"Wang, Runsheng; Dasgupta, Abhijit; Ward, Michael M.",JAMA Network Open,5,3,e222312-e222312,10.1001/jamanetworkopen.2022.2312,
hong:2024b,article-journal,2024,Clinical Utility of Tumor-Naïve Presurgical Circulating Tumor DNA Detection in Early-Stage NSCLC,"Hong, Tae Hee; Hwang, Soohyun; Dasgupta, Abhijit; Abbosh, Chris; Hung, Tiffany; Bredno, Jörg; Walker, Jill; Shi, Xiaojin; Milenkova, Tsveta; Horn, Leora; Choi, Joon Young; Lee, Ho Yun; Cho, Jong Ho; Choi, Yong Soo; Shim, Young Mog; Chai, Shoujie; Rhodes, Kate; Roychowdhury-Saha, Manami; Hodgson, Darren; Kim, Hong Kwan; Ahn, Myung-Ju",Journal of Thoracic Oncology,19,11,1512–1524,10.1016/j.jtho.2024.07.002,
hong:2025,article-journal,2025,"Association of pre-surgical circulating tumor DNA detection, use of sublobar resection with risk of recurrence in stage I non-small cell lung cancer","Hong, Tae Hee; Hwang, Soohyun; Abbosh, Chris; Dasgupta, Abhijit; Jeon, Yeong Jeong; Lee, Junghee; Park, Seong Yong; Cho, Jong Ho; Choi, Yong Soo; Shim, Young Mog; Hung, Tiffany; Bredno, Jörg; Hodgson, Darren; Ahn, Myung-Ju; Kim, Hong Kwan",European Journal of Cancer,217,,115237,10.1016/j.ejca.2025.115237,
